Title,Author,Publish Date,Keywords,URL,First Name,Gender
For the Love of Food and Culture: A Conversation with Lara Karamardian of Achki Chop,Melody Seraydarian,2021-10-20,"love, videos, family, cooking, armenian, karamardian, food, lara, culture, conversation, achki, recipes, channel, chop",https://armenianweekly.com/2021/10/20/for-the-love-of-food-and-culture-a-conversation-with-lara-karamardian-of-achki-chop/,Melody,female
Element Band returns for a magical night in Los Angeles,Melody Seraydarian,2021-10-13,"evening, element, band, audience, crowd, songs, returns, los, music, night, armenian, traditional, magical, style, angeles",https://armenianweekly.com/2021/10/13/element-band-returns-for-a-magical-night-in-los-angeles/,Melody,female
The Case Against “Being Woke”,Melody Seraydarian,2021-09-29,"media, dont, know, armenians, performative, ive, activism, cause, movement, case, social, woke",https://armenianweekly.com/2021/09/29/the-case-against-being-woke/,Melody,female
What is the role of youth in the Armenian Cause?,Melody Seraydarian,2021-09-07,"think, crimes, recognition, international, armenian, issues, role, cause, youth, war, artsakh, genocide",https://armenianweekly.com/2021/09/07/what-is-the-role-of-youth-in-the-armenian-cause/,Melody,female
The Connection of Sound: A Conversation with Sonia Maral Ohan,Melody Seraydarian,2021-09-01,"inspired, love, sound, sonia, maral, music, armenian, conversation, connection, artists, really, life, style, ohan, grew",https://armenianweekly.com/2021/09/01/the-connection-of-sound-a-conversation-with-sonia-maral-ohan/,Melody,female
An Ode to Armenian Cuisine,Melody Seraydarian,2021-08-25,"left, world, family, armenian, food, life, history, ode, dishes, way, cuisine",https://armenianweekly.com/2021/08/25/an-ode-to-armenian-cuisine/,Melody,female
"It’s all about the feeling: Meet Armenian DJ, selector and producer Darone Sassounian",Melody Seraydarian,2021-08-18,"work, process, dj, armenian, producer, music, feeling, project, rocky, artists, selector, hill, sassounian, sounds, darone, meet",https://armenianweekly.com/2021/08/18/its-all-about-the-feeling-meet-armenian-dj-selector-and-producer-darone-sassounian/,Melody,female
A Letter to my Grandfather,Melody Seraydarian,2021-08-04,"love, making, letter, qualities, remember, life, away, grandfather, place, forever, know, passed",https://armenianweekly.com/2021/08/04/a-letter-to-my-grandfather/,Melody,female
The Digital Age of Armenian Activism,Melody Seraydarian,2021-07-28,"design, media, armenians, armenian, age, digital, activism, platform, war, social, political",https://armenianweekly.com/2021/07/28/the-digital-age-of-armenian-activism/,Melody,female
Aunt Rosemary’s Brother,Arev Dinkjian,2024-08-06,"bowling, weekly, aunt, charles, article, rosemary, rosemarys, merjanian, brother, meeting, ayf, alashaian",https://armenianweekly.com/2024/08/06/aunt-rosemarys-brother/,Arev,female
Armenian monument exploration for new year and bucket list goals,Victoria Atamian Waterman,2024-12-16,"park, bucket, monuments, list, armenian, sites, history, explorers, travel, goals, heritage, thousand, monument, exploration",https://armenianweekly.com/2024/12/16/armenian-monument-exploration-for-new-year-and-bucket-list-goals/,Victoria,female
EnJOY the season of giving,Victoria Atamian Waterman,2024-11-20,"season, world, support, armenian, giving, sense, causes, values, community, organizations, enjoy, share",https://armenianweekly.com/2024/11/20/enjoy-the-season-of-giving/,Victoria,female
Celebrate Family History Month through the holidays,Victoria Atamian Waterman,2024-10-23,"future, memories, ancestors, celebrate, past, month, family, armenian, traditions, history, storytelling, holidays, shared",https://armenianweekly.com/2024/10/23/celebrate-family-history-month-through-the-holidays/,Victoria,female
Raise your Armenian coffee cup on International Coffee Day,Victoria Atamian Waterman,2024-09-24,"pot, burner, international, kalebjian, cup, pascal, armenian, day, opened, café, raise, coffee, place",https://armenianweekly.com/2024/09/24/raise-your-armenian-coffee-cup-on-international-coffee-day/,Victoria,female
Back to the future,Victoria Atamian Waterman,2024-08-20,"future, volunteer, soviet, visit, armenian, daria, yerevan, armenia, michael, slideshow, phoebe",https://armenianweekly.com/2024/08/20/back-to-the-future/,Victoria,female
Here come the brides,Victoria Atamian Waterman,2024-06-11,"come, brides, called, children, armenian, men, grooms, women, picture, genocide, immigration",https://armenianweekly.com/2024/06/11/here-come-the-brides/,Victoria,female
Dinner with the “Mother of Armenians”,Victoria Atamian Waterman,2024-05-14,"mother, dinner, astrig, mayrig, armenians, armenian, women, thank, share, traditional, mothers",https://armenianweekly.com/2024/05/14/dinner-with-the-mother-of-armenians/,Victoria,female
Remembering the survivors and celebrating communities,Victoria Atamian Waterman,2024-04-23,"future, remembering, celebrating, survivors, whitinsville, family, armenians, armenian, honor, birth, communities, generations, genocide",https://armenianweekly.com/2024/04/23/remembering-the-survivors-and-celebrating-communities/,Victoria,female
Today’s women are writing tomorrow’s history,Victoria Atamian Waterman,2024-03-19,"writers, calendar, writing, literature, language, endangered, children, tomorrows, armenian, history, women, western, todays",https://armenianweekly.com/2024/03/19/todays-women-are-writing-tomorrows-history/,Victoria,female
Aurora's Voice,Victoria Atamian Waterman,2024-02-06,"aurora, lost, hope, film, mardiganians, armenian, life, voice, armenia, auroras, general, mardiganian",https://armenianweekly.com/2024/02/06/auroras-voice/,Victoria,female
Khash for hangovers and other New Year’s traditions,Victoria Atamian Waterman,2023-12-18,"good, khash, laundry, tradition, hangovers, armenian, water, traditions, midnight, eve, dirty, luck, cultures",https://armenianweekly.com/2023/12/18/khash-for-hangovers-and-other-new-years-traditions/,Victoria,female
Championing Armenian literature,Victoria Atamian Waterman,2023-11-20,"unread, season, books, world, media, literature, championing, book, armenian, social, genocide",https://armenianweekly.com/2023/11/20/championing-armenian-literature/,Victoria,female
The Making of “Who She Left Behind”,Victoria Atamian Waterman,2023-10-12,"writing, written, making, family, wedding, armenian, gurin, history, men, place, left",https://armenianweekly.com/2023/10/12/the-making-of-who-she-left-behind/,Victoria,female
Barbie could be Armenian,Victoria Atamian Waterman,2023-09-06,"wish, space, girls, layers, armenian, identity, women, young, woman, barbie",https://armenianweekly.com/2023/09/06/barbie-could-be-armenian/,Victoria,female
Giving your BEST,Arpi Boynerian,2021-02-10,"little, marriage, love, language, spouse, tree, relationship, person, best, giving, words",https://armenianweekly.com/2021/02/10/giving-your-best/,Arpi,female
Armenian Legal Center’s Nahapetian Issues Powerful Community Impact Statement at D.C. Attack Hearing,Kate Nahapetian,2018-04-06,"foreign, watching, nahapetian, turkish, centers, dc, armenian, turkeys, legal, sacred, security, issues, assault, statement, protesters, yildirim, powerful, hearing, impact, community",https://armenianweekly.com/2018/04/06/alc-nahapetian-community-impact-statement/,Kate,female
Paylan to Fellow MPs: Are You Able to Sleep at Night?,Tsoler Aghjian,2016-01-11,"files, fellow, corruption, covered, night, sleep, parliament, turkey, able, mps, paylan, land, dec, know, christmas, file",https://armenianweekly.com/2016/01/11/are-you-able-to-sleep-at-night/,Tsoler,female
Heads in the dirt,Yeva Grigoryan,2024-09-10,"future, family, armenians, armenian, maternal, endured, dirt, generation, passed, greatgrandparents, heads",https://armenianweekly.com/2024/09/10/heads-in-the-dirt/,Yeva,female
"Attention Canadians: Why you should do the ANCA Internship in Washington, D.C.",Sabrina Tomarci,2024-08-27,"work, school, advance, canadians, anca, dc, armenian, internship, decision, attention, summer, toronto, washington, law",https://armenianweekly.com/2024/08/27/attention-canadians-why-you-should-do-the-anca-internship-in-washington-d-c/,Sabrina,female
Connection to our motherland,Maral Zeitlian,2024-08-27,"im, motherland, homeland, armenian, water, knowing, life, airport, special, armenia, connection",https://armenianweekly.com/2024/08/27/connection-to-our-motherland/,Maral,female
At the crossroads of diaspora identity,Lori Nayiri Ourlian,2024-08-19,"crossroads, realized, diaspora, names, american, armenian, ive, having, identity, community, identities",https://armenianweekly.com/2024/08/19/at-the-crossroads-of-diaspora-identity/,Lori,female
“With Open Arms”,Anna Lieggi,2024-08-07,"work, arms, speaking, experiences, anca, working, family, armenians, armenian, heritage, open, community",https://armenianweekly.com/2024/08/07/with-open-arms/,Anna,female
A Journey of Purpose,Lorig Korajian,2024-08-07,"school, university, international, purpose, journey, armenian, internship, ottawa, armenia, summer, community, political",https://armenianweekly.com/2024/08/07/a-journey-of-purpose/,Lorig,female
"“I got up, I’m ready to fight for Armenia.”",Nareh Aseyan,2024-07-31,"dedication, ready, im, melkonian, maral, armenian, homeland, marals, cause, armenia, forwardto, look, wake, fight",https://armenianweekly.com/2024/07/31/i-got-up-im-ready-to-fight-for-armenia/,Nareh,female
The Armenian Puzzle,Vana Hovsepian,2024-07-31,"felt, importance, armenian, puzzle, homeland, skills, identity, lsi, realize, ayf, began",https://armenianweekly.com/2024/07/31/the-armenian-puzzle/,Vana,female
My Name is Armenia Girl,Maral Zeitlian,2023-11-01,"wish, school, girl, speaking, stopped, family, armenians, armenian, yerevan, armenia, things, wanting",https://armenianweekly.com/2023/11/01/my-name-is-armenia-girl/,Maral,female
Fighting for Artsakh “because it is ours”,Mari Bijimenian,2023-10-04,"artsakh, lost, tell, 44day, nation, military, armenian, war, fighting, genocide, asked",https://armenianweekly.com/2023/10/04/fighting-for-artsakh-because-it-is-ours/,Mari,female
Five Takeaways from the Congressional Commission Hearing on Artsakh Security,Areni Hamparian,2023-06-28,"rubin, commission, security, azerbaijan, azerbaijani, armenian, takeaways, human, hearing, armenia, turkey, artsakh, rights, congressional",https://armenianweekly.com/2023/06/28/five-takeaways-from-the-congressional-commission-hearing-on-artsakh-security/,Areni,female
Artsakh is on the Brink of a Second Genocide,Sophia Papazian,2023-06-28,"brownback, brink, rubin, azerbaijan, armenians, armenian, hearing, armenia, second, artsakh, genocide, rep",https://armenianweekly.com/2023/06/28/artsakh-is-on-the-brink-of-a-second-genocide/,Sophia,female
Safeguarding the civilians of Artsakh,Sofia Kirchen,2023-06-28,"panelists, support, civilians, enforcement, human, act, phillips, 907, waiver, artsakh, safeguarding, rights, sanctions",https://armenianweekly.com/2023/06/28/safeguarding-the-civilians-of-artsakh/,Sofia,female
Promoting Hai Tahd at the 2022 AYF Olympics,Tvene Baronian,2022-09-23,"2022, summer, anca, tahd, armenian, hai, rapid, members, olympics, community, ayf, promoting, worcester, responder",https://armenianweekly.com/2022/09/23/promoting-hai-tahd-at-the-2022-ayf-olympics/,Tvene,female
ANC of MI meets with Wixom City Manager,Kristen Bagdasarian,2022-05-30,"park, atatürk, turkish, armenian, meets, residents, manager, brown, anc, wixom, road, city, mi, beck",https://armenianweekly.com/2022/05/30/anc-of-mi-meets-with-wixom-city-manager/,Kristen,female
ANCA-WR spring 2022 internship is underway,Melody Seraydarian,2022-03-17,"2022, university, interns, los, underway, armenian, internship, ancawr, california, community, political, spring, angeles, ucla",https://armenianweekly.com/2022/03/17/anca-wr-spring-2022-internship-is-underway/,Melody,female
ANCA-ER workshop focuses on traditional and social media,Ani Mard,2021-09-01,"work, workshop, communication, weekly, media, anca, ancaer, event, armenian, highlighted, social, community, traditional, focuses",https://armenianweekly.com/2021/09/01/anca-er-workshop-focuses-on-traditional-and-social-media/,Ani,female
ANCA-ER tackles the Khojaly myth in workshop series,Nairi Diratsouian,2021-08-18,"workshop, forces, khojaly, azerbaijan, victim, ancaer, armenians, armenian, propaganda, able, series, tackles, myth, genocide, azeri",https://armenianweekly.com/2021/08/18/anca-er-tackles-the-khojaly-myth-in-workshop-series/,Nairi,female
Beyond Motherhood: Zabel Yessayan,Lori Baronian,2021-08-11,"womens, writers, motherhood, writing, armenian, yessayan, feminist, writer, women, rights, constantinople, zabel",https://armenianweekly.com/2021/08/11/beyond-motherhood-zabel-yessayan/,Lori,female
Beyond Motherhood: Powerful Women in Science,Tvene Baronian,2021-07-08,"singapore, motherhood, later, armenian, powerful, caracotchian, orchid, flower, women, hovakimian, science, conti, woman, fishing",https://armenianweekly.com/2021/07/08/beyond-motherhood-powerful-women-in-science/,Tvene,female
ANC of Eastern Massachusetts Meets Representative Ayanna Pressley’s Office,Tsoleen Sarian,2020-11-02,"ayanna, continue, massachusetts, support, pressley, congresswoman, pressleys, armenian, meets, thanked, office, turkey, district, representative, eastern, anc",https://armenianweekly.com/2020/11/02/anc-of-eastern-massachusetts-meets-representative-ayanna-pressleys-office/,Tsoleen,female
ANCA-ER Announces 14th Annual ANCA-ER Freedom Award Recipients,Lori Baronian,2020-09-30,"14th, smith, recipients, freedom, award, region, ancaer, support, armenian, announces, engel, annual, armenia, representative, artsakh, genocide, congressional",https://armenianweekly.com/2020/09/30/anca-er-announces-14th-annual-anca-er-freedom-award-recipients/,Lori,female
Follow the Smart Money’s Jon and Pete Najarian to Host ANCA Eastern Region’s 14th Annual Virtual Gala,Lori Baronian,2020-09-22,"moneys, gala, investors, smart, host, jon, trade, contributor, follow, money, najarian, trading, virtual, president, regions, pete, professional, eastern",https://armenianweekly.com/2020/09/22/follow-the-smart-moneys-jon-and-pete-najarian-to-host-anca-eastern-regions-14th-annual-virtual-gala/,Lori,female
ANCA Eastern Region Announces 14th Annual ANCA-ER Vahan Cardashian Award Recipients,Lori Baronian,2020-09-16,"vahan, barsoumian, georgia, recipients, region, award, anca, ancaer, state, armenian, announces, annual, agasarkisian, cardashian, chair, eastern, anc",https://armenianweekly.com/2020/09/16/anca-eastern-region-announces-14th-annual-anca-er-vahan-cardashian-award-recipients/,Lori,female
Michigan State Rep. Mari Manoogian to Receive Inaugural ANCA Eastern Region’s One to Watch Award,Lori Baronian,2020-09-08,"eastern, leaders, michigan, award, state, ancaer, watch, armenian, elected, inaugural, receive, regions, mari, youth, manoogian, rep",https://armenianweekly.com/2020/09/08/michigan-state-rep-mari-manoogian-to-receive-inaugural-anca-eastern-regions-one-to-watch-award/,Lori,female
Beyond Motherhood: Armenian Feminist Writers,Tvene Baronian,2020-09-02,"writers, womens, motherhood, armenian, feminist, kurghinian, armenia, beyleryan, women, young, rights, constantinople, dussap",https://armenianweekly.com/2020/09/02/beyond-motherhood-armenian-feminist-writers/,Tvene,female
ANC of Michigan Meets with Representative Debbie Dingell,Dzovinar Hatsakordzian,2020-08-26,"michigan, congresswoman, armenian, meets, issues, debbie, priorities, meeting, member, representative, community, anc, dingell, mi",https://armenianweekly.com/2020/08/26/anc-of-michigan-meets-with-representative-debbie-dingell/,Dzovinar,female
Beyond Motherhood: Powerful Armenian Women in Science,Tvene Baronian,2020-08-19,"work, university, motherhood, woman, worked, students, armenian, powerful, physics, women, observatory, science, pishmish",https://armenianweekly.com/2020/08/19/beyond-motherhood-powerful-armenian-women-in-science/,Tvene,female
Beyond Motherhood: Powerful Women in Politics,Tvene Baronian,2020-08-06,"motherhood, speaker, resolution, congress, maine, eshoo, armenian, powerful, house, women, politics, genocide, rep",https://armenianweekly.com/2020/08/06/beyond-motherhood-powerful-women-in-politics/,Tvene,female
"ANCA, ANC-Lebanon Discuss Challenges During Inaugural ANC-MI Virtual Town Hall",Dzovinar Hatsakordzian,2020-07-02,"different, anca, anclebanon, mi, armenian, virtual, inaugural, artsakh, hall, lebanon, state, ancmi, challenges, genocide, discuss, aid, town, community, anc",https://armenianweekly.com/2020/07/02/anca-anc-lebanon-discuss-challenges-during-inaugural-anc-mi-virtual-town-hall/,Dzovinar,female
Let’s Get a Hye Count by Marking ‘Armenian’ in 2020 Census,Verginie Touloumian,2020-03-25,"lets, census, count, services, complete, questionnaire, campaign, marking, funding, armenian, website, vital, hye, community, 2020",https://armenianweekly.com/2020/03/25/lets-get-a-hye-count-by-marking-armenian-in-2020-census/,Verginie,female
ANCA Rising Leaders: Embracing Change,Roubina Bozoian,2020-02-06,"program, leaders, anca, working, embracing, tahd, sarkisian, armenian, internship, leo, change, rising",https://armenianweekly.com/2020/02/06/anca-rising-leaders-embracing-change/,Roubina,female
ANCA to Honor Eric Esrailian with the Freedom Award,Hooshere Bezdikian,2018-09-27,"mr, freedom, award, anca, film, honor, armenian, human, esrailian, eric, really, rights, promise",https://armenianweekly.com/2018/09/27/anca-to-honor-eric-esrailian-with-the-freedom-award/,Hooshere,female
From Being Inspired to Inspiring Others – Vahan Cardashian Awardee Ken Sarajian,Taleen Simonian,2018-08-22,"vahan, inspired, anca, award, inspiring, sarajian, awardee, armenian, cardashian, youth, community, ken, genocide, involved",https://armenianweekly.com/2018/08/22/from-being-inspired-to-inspiring-others-vahan-cardashian-awardee-ken-sarajian/,Taleen,female
‘The Promise’ Director Terry George to Receive 2018 ANCA-ER Freedom Award,Michelle Hagopian,2018-08-22,"director, 2018, hotel, freedom, award, film, ancaer, anca, armenian, george, senator, human, receive, rights, terry, genocide, promise",https://armenianweekly.com/2018/08/22/the-promise-director-terry-george-to-receive-2018-anca-er-freedom-award/,Michelle,female
"There Was, There Was Not",Talar Keoseyan,2024-11-25,"devastation, movie, film, mkrtichian, war, armenian, storytelling, women, artsakh, wanted",https://armenianweekly.com/2024/11/25/there-was-there-was-not/,Talar,female
My Sweet Land team determined to reach global audiences,Lillian Avedian,2024-11-20,"team, reach, international, film, global, armenian, sweet, hairabedian, feel, feature, audiences, artsakh, land, determined, rfc",https://armenianweekly.com/2024/11/20/my-sweet-land-team-determined-to-reach-global-audiences/,Lillian,female
Between Borders tells the story of an Armenian family’s plight in Baku,Talar Keoseyan,2024-10-15,"olga, familys, film, family, violetta, plight, armenian, armenians, julia, russia, sumgait, borders, tells, baku",https://armenianweekly.com/2024/10/15/between-borders-tells-the-story-of-an-armenian-familys-plight-in-baku/,Talar,female
Nairi Bandari on filming “Eyes on Artsakh”,Talar Keoseyan,2024-07-30,"value, glendale, film, nairi, wanted, documentary, short, bandari, california, filming, eyes, artsakh, works",https://armenianweekly.com/2024/07/30/nairi-bandari-on-fimling-eyes-on-artsakh/,Talar,female
Socially Relevant Film Festival in New York spotlights Armenian cinema,Lillian Avedian,2024-03-06,"cinema, nagy, spotlights, ohanyan, socially, film, festival, armenians, armenian, homeland, york, armenia, films, soviet, relevant",https://armenianweekly.com/2024/03/06/socially-relevant-film-festival-in-new-york-spotlights-armenian-cinema/,Lillian,female
"Andrew Goldberg on directing “Armenia, My Home”",Talar Keoseyan,2024-03-04,"directed, directing, andrew, armenians, armenian, documentary, crew, author, armenia, community, genocide, goldberg",https://armenianweekly.com/2024/03/04/andrew-goldberg-on-directing-armenia-my-home/,Talar,female
Memories of a Maestro: How the Sergei Parajanov Museum came to be,Jane Partizpanyan,2022-07-20,"housemuseum, memories, came, ethnographic, dzoragyugh, parajanov, construction, yerevan, sergei, museum, ghazaryan, khanjyan, project, maestro",https://armenianweekly.com/2022/07/20/memories-of-a-maestro-how-the-sergei-parajanov-museum-came-to-be/,Jane,female
The 2022 Socially Relevant Film Festival: Reviews and Results,Dalita Getzoyan,2022-03-23,"2022, reviews, directed, results, socially, film, festival, narrative, armenian, trauma, documentary, short, feature, films, relevant, desire",https://armenianweekly.com/2022/03/23/the-2022-socially-relevant-film-festival-reviews-and-results/,Dalita,female
Armenia’s Film Industry: How costume designer Eva Minassian is taking action,Lusine Minasyan,2022-01-05,"minassian, production, taking, film, armenian, designer, action, order, industry, armenias, armenia, documentary, thats, projects, postproduction, costume, eva",https://armenianweekly.com/2022/01/05/armenias-film-industry-how-costume-designer-eva-minassian-is-taking-action/,Lusine,female
Rebirth and Revival: A conversation with filmmaker Jivan Avetisyan,Dzovinar Hatsakordzian,2021-04-15,"revival, avetisyan, different, international, movie, film, armenian, conversation, rebirth, jivan, identity, war, artsakh, filmmaker, movies",https://armenianweekly.com/2021/04/15/rebirth-and-revival-a-conversation-with-filmmaker-jivan-avetisyan/,Dzovinar,female
Songs of Solomon: “And the Oscar goes to…”,Arpi Sarafian,2021-02-03,"recent, solomon, songs, goes, movie, film, politics, armenian, village, nshanian, sevil, oscar",https://armenianweekly.com/2021/02/03/songs-of-solomon-and-the-oscar-goes-to/,Arpi,female
Arman Nshanian honors his roots and untold stories in Songs of Solomon,Kristina Ayanian,2021-01-27,"lose, solomon, songs, film, arman, thousands, armenians, armenian, honors, untold, history, roots, nshanian, komitas",https://armenianweekly.com/2021/01/27/arman-nshanian-honors-his-roots-and-untold-stories-in-songs-of-solomon/,Kristina,female
Meet the filmmakers behind “100 Years from Home”,Lillian Avedian,2020-09-09,"think, 100, film, felt, family, genocide, armenian, armenians, documentary, experience, kars, filmmakers, meet",https://armenianweekly.com/2020/09/09/meet-the-filmmakers-behind-100-years-from-home/,Lillian,female
The Making of ‘What Will Become of Us’,Stephanie Ayanian,2020-03-12,"partners, making, film, public, armenians, armenian, joseph, culture, america, community, genocide",https://armenianweekly.com/2020/03/12/the-making-of-what-will-become-of-us/,Stephanie,female
Japan’s ‘Sister Waves’ Organize Screening of The Stateless Diplomat,Astghik Hovhannisyan,2019-12-05,"diplomat, screening, audience, organize, film, stateless, festival, talk, armenian, waves, japans, women, diana, genocide, sister, society",https://armenianweekly.com/2019/12/05/japans-sister-waves-organize-screening-of-the-stateless-diplomat/,Astghik,female
The Making of ‘The Stateless Diplomat’,Mimi Malayan,2019-08-13,"diplomat, work, dianas, survivors, refugees, japan, making, stateless, armenian, diana, research, genocide, shared",https://armenianweekly.com/2019/08/13/the-making-of-the-stateless-diplomat/,Mimi,female
Shedding Light on the Women of 1915,Leeza Arakelian,2018-09-24,"womens, titanic, survival, 1915, armenian, shedding, documentary, yerevan, women, light, genocide, important, maronian",https://armenianweekly.com/2018/09/24/shedding-light-on-the-women-of-1915/,Leeza,female
In search of fog: the story of a displaced theater from Shushi,Diana Hovhannisyan,2023-09-13,"work, artsakh, shushi, theater, war, fog, armenia, search, women, displaced, actors, city",https://armenianweekly.com/2023/09/13/in-search-of-fog-the-story-of-a-displaced-theater-from-shushi/,Diana,female
Leopold Gaszczyk: The Pole who became a photographer of Armenians,Dominika Maria Macios,2022-03-10,"work, gaszczyks, gaszczyk, pole, photographs, photography, armenians, armenian, jeppe, aleppo, children, leopold, mission, photographer",https://armenianweekly.com/2022/03/10/leopold-gaszczyk-the-pole-who-became-an-armenian-photographer/,Dominika,female
Children of War,Lika Zakaryan,2022-02-17,"school, does, shushi, arman, children, war, way, artsakh, father, live",https://armenianweekly.com/2022/02/17/children-of-war/,Lika,female
Are the Armenians the founders of Calcutta? A new book asks this question.,Alakananda Nag,2022-01-05,"memory, high, founders, world, question, book, calcutta, armenians, armenian, history, asks, community, city, left",https://armenianweekly.com/2022/01/05/are-the-armenians-the-founders-of-calcutta-a-new-book-asks-this-question/,Alakananda,female
Wrestling phenom Grigor Cholakyan,Talar Keoseyan,2024-01-24,"school, high, phenom, wrestling, nation, cholakyan, armenian, training, day, teachers, grigor",https://armenianweekly.com/2024/01/24/wrestling-phenom-grigor-cholakyan/,Talar,female
"Volleyball player Liana Sarkissian soaring to new heights, joins Flyers",Leeza Arakelian,2022-01-19,"sarkissian, team, school, think, good, season, player, joins, lot, volleyball, heights, row, shes, soaring, flyers, liana",https://armenianweekly.com/2022/01/19/volleyball-player-liana-sarkissian-soaring-to-new-heights-joins-flyers/,Leeza,female
Hoops 4 Hayastan hosts incredible all-star weekend,Janet Demirjian Leist,2021-01-13,"team, hayastan, weekend, hoops, basketball, villages, viewers, incredible, live, allstar, hosts, armenia, members, guests, fundraising, h4h",https://armenianweekly.com/2021/01/13/hoops-4-hayastan-hosts-incredible-all-star-weekend/,Janet,female
"Suffolk Grad, Watertown Native Michael Hagopian Goes Pro in Armenia",Leeza Arakelian,2020-01-30,"grad, hagopians, hes, suffolk, basketball, goes, bryants, family, pro, armenian, michael, hagopian, armenia, day, watertown, native, playing",https://armenianweekly.com/2020/01/30/suffolk-grad-watertown-native-michael-hagopian-goes-pro-in-armenia/,Leeza,female
Armenia: A Growing Equestrian Destination,Lauren Volkodav,2019-05-21,"coach, destination, stable, equestrian, center, training, riding, armenia, stephanian, horse, outside, growing, horses",https://armenianweekly.com/2019/05/21/armenia-a-growing-equestrian-destination/,Lauren,female
School Ties with Soccer Star Alecko Eskandarian,Sarine Adishian,2018-09-14,"soccer, work, school, star, alecko, united, hovnanian, armenian, professional, role, teachers, eskandarian, ties",https://armenianweekly.com/2018/09/14/school-ties-with-soccer-star-alecko-eskandarian/,Sarine,female
What does it mean to write fantasy in Western Armenian?,Tamar Marie Boyadjian,2024-06-19,"read, medieval, mean, world, knew, language, write, armenian, history, futurism, fantasy, does, western",https://armenianweekly.com/2024/06/19/what-does-it-mean-to-write-fantasy-in-western-armenian/,Tamar,female
Banyan trees and “an ancient people in perpetual self-creation”,Seta B. Dadoyan,2024-03-06,"trees, convergences, selfcreation, writing, encounters, scholarship, tree, human, banyan, art, perpetual, ancient, spirit, drawing",https://armenianweekly.com/2024/03/06/banyan-trees-and-an-ancient-people-in-perpetual-self-creation/,Seta,female
An ‘alternative view’ on things Armenian,Seta B. Dadoyan,2024-02-13,"rocks, different, encounters, islamicarmenian, alternative, armenian, view, book, things, art, research, studies",https://armenianweekly.com/2024/02/13/an-alternative-view-on-things-armenian/,Seta,female
Making art in wartime Lebanon,Seta B. Dadoyan,2024-01-30,"work, shelling, teaching, lebanon, making, armenian, wartime, life, art, beirut, sketches, studies",https://armenianweekly.com/2024/01/30/making-art-in-wartime-lebanon/,Seta,female
Encounters and Convergences. A Book of Ideas and Art – Part I,Seta B. Dadoyan,2024-01-16,"convergences, century, encounters, book, armenian, culture, ideas, art, artwork, works, aesthetic, truthcontent, arts, painting",https://armenianweekly.com/2024/01/16/encounters-and-convergences-a-book-of-ideas-and-art-part-i/,Seta,female
"The Making of “Sorry, Bro”",Taleen Voskuni,2023-08-03,"im, writing, sorry, written, making, write, book, armenian, bro, went, wrote, agent, wanted",https://armenianweekly.com/2023/08/03/the-making-of-sorry-bro/,Taleen,female
The Making of “Rachmaninoff & Stravinsky” Album,Kariné Poghosyan,2019-10-28,"authentic, firebird, recording, making, album, music, critics, remember, stravinskys, piano, unique, way, rachmaninoff, stravinsky",https://armenianweekly.com/2019/10/28/the-making-of-rachmaninoff-stravinsky-album/,Kariné,female
The Making of Komitas: Victim of the Great Crime,Meliné Karakashian,2019-10-08,"library, victim, making, national, great, crime, museum, thought, armenia, komitas, genocide, soviet, gone, mad",https://armenianweekly.com/2019/10/08/the-making-of-komitas-victim-of-the-great-crime/,Meliné,female
The Making of ‘Under the Light of the Moon’,Laura Michael,2019-09-16,"work, school, moon, making, relief, students, armenian, history, holocaust, young, light, genocide, zartig",https://armenianweekly.com/2019/09/16/the-making-of-under-the-light-of-the-moon/,Laura,female
The Making of ‘The Missing Pages’,Heghnar Zeitlian Watenpaugh,2019-07-31,"gospels, making, zeytun, armenian, history, manuscript, museum, getty, art, pages, missing, genocide",https://armenianweekly.com/2019/07/31/the-making-of-the-missing-pages/,Heghnar,female
Lala Yerem on continuing the Armenian struggle through song,Talar Keoseyan,2024-05-21,"sing, songs, lala, struggle, event, armenian, patriotic, continuing, song, war, way, fight, yerem",https://armenianweekly.com/2024/05/21/lala-yerem-on-continuing-the-armenian-struggle-through-song/,Talar,female
Artsakh native Lyoka uses music to thrive beyond loss,Talar Keoseyan,2024-05-21,"uses, love, songs, family, lyoka, thrive, music, armenian, life, stepanakert, ive, loss, artsakh, native, live",https://armenianweekly.com/2024/05/21/artsakh-native-lyoka-uses-music-to-thrive-beyond-loss/,Talar,female
Musical Explorers at Carnegie Hall introduces children to Armenian folk music,Lillian Avedian,2024-05-14,"different, musical, introduces, folk, children, music, armenian, explorers, students, tamzara, markarian, carnegie, hall, zulal",https://armenianweekly.com/2024/05/14/musical-explorers-at-carnegie-hall-introduces-children-to-armenian-folk-music/,Lillian,female
"Laura Zarougian: Singer, Songwriter, Armenian Cowgirl",Knar Bedian,2023-09-13,"sing, songs, guitar, songwriter, zarougians, cowgirl, armenian, music, song, singer, laura, zarougian, sang, traditional",https://armenianweekly.com/2023/09/13/laura-zarougian-singer-songwriter-armenian-cowgirl/,Knar,female
TmbaTa Orchestra launches US tour at SXSW 2023,Arsineh Valladian,2023-03-23,"2023, tumo, folk, tour, music, armenian, launches, tmbata, unforgettable, sxsw, komitas, grigoryan, fans, orchestra",https://armenianweekly.com/2023/03/23/tmbata-orchestra-launches-us-tour-at-sxsw-2023/,Arsineh,female
